date,file,source_files,rows,estimated_stocks_from_240_bars,bytes,MB,fields
2026-05-06,2026-05/part-01_12trading_days/date=2026-05-06/minute1.parquet,49,1169280,4872,17442043,17.44,"code,datetime,open,high,low,close,volume,amount"
2026-05-07,2026-05/part-01_12trading_days/date=2026-05-07/minute1.parquet,49,1169760,4874,17336579,17.34,"code,datetime,open,high,low,close,volume,amount"
2026-05-08,2026-05/part-01_12trading_days/date=2026-05-08/minute1.parquet,49,1169760,4874,17459049,17.46,"code,datetime,open,high,low,close,volume,amount"
2026-05-11,2026-05/part-01_12trading_days/date=2026-05-11/minute1.parquet,49,1170000,4875,17702547,17.7,"code,datetime,open,high,low,close,volume,amount"
2026-05-12,2026-05/part-01_12trading_days/date=2026-05-12/minute1.parquet,49,1169040,4871,17774958,17.77,"code,datetime,open,high,low,close,volume,amount"
2026-05-13,2026-05/part-01_12trading_days/date=2026-05-13/minute1.parquet,49,1170000,4875,17569018,17.57,"code,datetime,open,high,low,close,volume,amount"
2026-05-14,2026-05/part-01_12trading_days/date=2026-05-14/minute1.parquet,49,1170000,4875,18057213,18.06,"code,datetime,open,high,low,close,volume,amount"
2026-05-15,2026-05/part-01_12trading_days/date=2026-05-15/minute1.parquet,49,1170240,4876,18379444,18.38,"code,datetime,open,high,low,close,volume,amount"
2026-05-18,2026-05/part-01_12trading_days/date=2026-05-18/minute1.parquet,49,1170960,4879,17907395,17.91,"code,datetime,open,high,low,close,volume,amount"
2026-05-19,2026-05/part-01_12trading_days/date=2026-05-19/minute1.parquet,49,1169760,4874,17881050,17.88,"code,datetime,open,high,low,close,volume,amount"
2026-05-20,2026-05/part-01_12trading_days/date=2026-05-20/minute1.parquet,49,1170480,4877,17762133,17.76,"code,datetime,open,high,low,close,volume,amount"
2026-05-21,2026-05/part-01_12trading_days/date=2026-05-21/minute1.parquet,49,1171200,4880,18806622,18.81,"code,datetime,open,high,low,close,volume,amount"
2026-05-22,2026-05/part-02_6trading_days/date=2026-05-22/minute1.parquet,49,1171680,4882,17931348,17.93,"code,datetime,open,high,low,close,volume,amount"
2026-05-25,2026-05/part-02_6trading_days/date=2026-05-25/minute1.parquet,49,1171680,4882,17908315,17.91,"code,datetime,open,high,low,close,volume,amount"
2026-05-26,2026-05/part-02_6trading_days/date=2026-05-26/minute1.parquet,49,1171680,4882,18187053,18.19,"code,datetime,open,high,low,close,volume,amount"
2026-05-27,2026-05/part-02_6trading_days/date=2026-05-27/minute1.parquet,49,1171680,4882,18468520,18.47,"code,datetime,open,high,low,close,volume,amount"
2026-05-28,2026-05/part-02_6trading_days/date=2026-05-28/minute1.parquet,49,1171680,4882,18157896,18.16,"code,datetime,open,high,low,close,volume,amount"
2026-05-29,2026-05/part-02_6trading_days/date=2026-05-29/minute1.parquet,49,1171440,4881,18498542,18.5,"code,datetime,open,high,low,close,volume,amount"
